City Name,Date,Latitude,Longitude,Country,Humidity,Cloudiness,Max Temp,Wind Speed,Temperature
Khatanga,2019-10-12 23:45:51,102.47,71.98,RU,91,93,22.03,7.27,22.03
Aksu,2019-10-12 23:45:51,76.93,52.04,KZ,71,48,45.63,2.93,45.63
Faya,2019-10-12 23:45:51,42.45,18.39,SA,36,45,64.4,4.26,62.65
Kungurtug,2019-10-12 23:45:52,97.53,50.6,RU,42,48,23.25,2.49,23.25
Pontianak,2019-10-12 23:45:52,109.34,-0.02,ID,89,48,77.65,2.07,77.65
Pisco,2019-10-12 23:45:52,-76.2,-13.71,PE,30,8,71.6,6.93,67.08
Tecoanapa,2019-10-12 23:45:52,-99.26,16.99,MX,74,75,86.0,6.93,86.0
Shimoda,2019-10-12 23:45:53,138.93,34.7,JP,54,20,87.01,8.05,81.81
Richards Bay,2019-10-12 23:45:53,32.06,-28.77,ZA,85,62,70.02,30.34,70.02
Tasiilaq,2019-10-12 23:45:53,-37.64,65.61,GL,92,99,30.2,6.93,30.2
Samfya,2019-10-12 23:45:54,29.56,-11.37,ZM,64,14,69.67,6.18,69.67
Katiola,2019-10-12 23:45:54,-5.1,8.14,CI,100,40,73.4,4.7,73.4
Aksarka,2019-10-12 23:45:54,67.8,66.56,RU,97,100,34.9,5.64,34.9
Constitucion,2019-10-12 23:45:54,-104.67,23.99,MX,46,75,71.01,5.89,70.36
Quelimane,2019-10-12 23:45:54,36.89,-17.88,MZ,86,0,73.27,5.64,73.27
Clyde River,2019-10-12 23:45:55,-68.59,70.47,CA,86,90,28.4,12.75,28.4
Fruitvale,2019-10-12 23:45:55,-117.55,49.12,CA,47,100,44.87,1.69,44.87
Nara,2019-10-12 23:46:40,135.8,34.68,JP,72,75,70.0,19.46,68.02
Sechelt,2019-10-12 23:46:41,-123.76,49.47,CA,71,75,55.4,6.93,53.73
Butaritari,2019-10-12 23:46:41,172.79,3.07,KI,71,2,84.99,10.83,84.99
Vuktyl,2019-10-12 23:46:42,57.31,63.86,RU,89,92,37.42,9.14,37.42
Dawei,2019-10-12 23:46:42,98.19,14.07,MM,77,16,80.49,6.04,80.49
Port Alfred,2019-10-12 23:46:42,26.89,-33.59,ZA,88,47,59.0,3.0,59.0
Mbandaka,2019-10-12 23:46:42,18.26,0.05,CD,95,20,68.07,2.38,68.07
Trat,2019-10-12 23:46:43,102.51,12.25,TH,10,90,82.0,7.43,81.07
Saskylakh,2019-10-12 23:46:43,114.09,71.97,RU,80,100,24.82,6.18,24.82
Coquimbo,2019-10-12 23:46:43,-71.34,-29.95,CL,87,75,53.6,6.93,53.6
Kofele,2019-10-12 23:46:43,38.78,7.07,ET,93,77,46.44,4.03,46.44
Mecca,2019-10-12 23:46:44,39.83,21.43,SA,36,17,85.15,3.01,85.15
Carnarvon,2019-10-12 23:46:44,22.13,-30.97,ZA,60,0,53.96,13.71,53.96
Flinders,2019-10-12 23:46:44,150.85,-34.58,AU,54,5,66.0,3.36,61.27
Bure,2019-10-12 23:46:44,10.33,10.52,NG,86,23,74.52,4.38,74.52
Ponta do Sol,2019-10-12 23:46:44,-46.0,-20.63,BR,61,57,72.73,2.46,72.73
Port Lincoln,2019-10-12 23:46:45,135.86,-34.72,AU,79,100,62.91,24.01,62.91
Maebaru,2019-10-12 23:46:45,130.2,33.55,JP,56,40,73.0,9.17,69.01
Sitka,2019-10-12 23:46:45,-99.65,37.17,US,31,9,61.03,9.21,61.03
Bhilai,2019-10-12 23:46:45,81.37,21.21,IN,78,9,69.51,4.56,69.51
Urubicha,2019-10-12 23:46:46,-63.08,-15.63,BO,76,27,76.32,3.87,76.32
Saint-Augustin,2019-10-12 23:46:46,-73.98,45.63,CA,82,90,57.2,3.36,55.35
Lompoc,2019-10-12 23:46:47,-120.46,34.64,US,10,1,82.99,16.11,76.19
Saldanha,2019-10-12 23:46:47,-6.55,41.42,PT,82,5,57.74,6.52,57.74
Songjianghe,2019-10-12 23:46:47,127.48,42.18,CN,57,63,42.66,2.54,42.66
Saint George,2019-10-12 23:46:47,22.34,39.45,GR,93,20,60.8,0.43,59.83
Derzhavinsk,2019-10-12 23:46:48,66.31,51.1,KZ,77,100,49.35,8.64,49.35
Ekhabi,2019-10-12 23:46:48,142.97,53.51,RU,68,70,34.29,17.62,34.29
Luderitz,2019-10-12 23:46:48,15.16,-26.65,NA,76,0,57.2,17.22,57.2
Dukat,2019-10-12 23:46:48,19.57,40.25,AL,71,0,69.01,6.85,69.01
Necochea,2019-10-12 23:46:49,-58.74,-38.55,AR,77,70,57.0,3.0,57.0
Sorland,2019-10-12 23:46:49,12.69,67.67,NO,55,96,41.67,7.6,41.67
Mehamn,2019-10-12 23:46:49,27.85,71.03,NO,87,99,32.76,4.68,32.76
Haines Junction,2019-10-12 23:46:50,-137.51,60.75,CA,86,100,26.64,5.46,26.64
Zhigansk,2019-10-12 23:46:50,123.37,66.77,RU,87,93,17.8,9.3,17.8
Mahebourg,2019-10-12 23:46:50,57.7,-20.41,MU,83,40,73.0,6.93,72.39
Vao,2019-10-12 23:46:50,26.19,59.1,EE,92,39,45.28,9.18,45.28
Charcas,2019-10-12 23:46:51,-101.11,23.13,MX,68,97,66.06,12.94,66.06
Joshimath,2019-10-12 23:46:51,79.57,30.57,IN,49,0,41.25,5.0,41.25
Halifax,2019-10-12 23:46:51,-63.58,44.65,CA,100,90,55.99,5.82,55.42
Soria,2019-10-12 23:46:52,-2.46,41.76,ES,67,25,59.0,4.0,59.0
Dauphin,2019-10-12 23:46:52,-100.04,51.15,CA,98,90,32.0,20.8,32.0
College,2019-10-12 23:46:52,-147.8,64.86,US,69,1,36.0,5.82,33.69
Limbazi,2019-10-12 23:46:52,24.72,57.51,LV,93,40,50.0,5.99,50.0
The Valley,2019-10-12 23:46:53,-63.06,18.22,AI,74,20,84.2,3.36,82.98
Pevek,2019-10-12 23:46:53,170.27,69.7,RU,73,90,29.64,15.27,29.64
Huarmey,2019-10-12 23:46:53,-78.15,-10.07,PE,77,43,60.66,3.25,60.66
Lebu,2019-10-12 23:46:53,38.73,8.96,ET,80,97,50.04,2.82,50.04
Barcelos,2019-10-12 23:46:54,-62.93,-0.97,BR,80,99,77.92,1.21,77.92
The Pas,2019-10-12 23:46:54,-101.24,53.82,CA,52,90,41.0,6.93,41.0
Fonte Boa,2019-10-12 23:46:54,-66.09,-2.51,BR,98,100,72.64,1.77,72.64
Coihaique,2019-10-12 23:46:54,-72.07,-45.58,CL,39,20,46.4,8.05,46.4
Katobu,2019-10-12 23:46:55,122.53,-4.94,ID,63,45,83.77,5.5,83.77
Merrill,2019-10-12 23:46:55,-121.6,42.03,US,20,1,66.0,4.22,65.23
Zhanakorgan,2019-10-12 23:46:55,67.25,43.91,KZ,52,59,51.06,2.47,51.06
Salalah,2019-10-12 23:46:55,54.1,17.01,OM,69,0,78.8,4.7,78.8
Torbay,2019-10-12 23:47:40,-52.73,47.66,CA,93,90,48.0,12.75,46.92
Hambantota,2019-10-12 23:47:41,81.12,6.12,LK,80,45,80.82,5.0,80.82
Buchanan,2019-10-12 23:47:41,-10.05,5.88,LR,94,75,75.2,5.65,75.2
Katsuura,2019-10-12 23:47:41,134.5,33.93,JP,60,75,68.0,20.8,66.16
Atambua,2019-10-12 23:47:41,124.89,-9.11,ID,40,76,84.99,3.54,84.99
Padra,2019-10-12 23:47:42,73.09,22.24,IN,74,0,78.8,2.24,78.8
Sumkino,2019-10-12 23:47:42,68.32,58.11,RU,83,100,44.83,6.38,44.83
Port Blair,2019-10-12 23:47:42,92.75,11.67,IN,72,0,83.17,6.5,83.17
Opuwo,2019-10-12 23:47:43,13.84,-18.06,NA,69,99,68.94,3.87,68.94
Mangrol,2019-10-12 23:47:43,76.51,25.33,IN,57,0,71.1,4.14,71.1
Talnakh,2019-10-12 23:47:43,88.39,69.49,RU,94,100,24.67,16.99,24.67
Bucerias,2019-10-12 23:47:43,-105.33,20.76,MX,74,75,86.0,4.7,86.0
Mayumba,2019-10-12 23:47:43,10.65,-3.44,GA,89,90,76.64,5.65,76.64
Yeniseysk,2019-10-12 23:47:44,92.17,58.45,RU,69,48,25.86,6.1,25.86
Narsaq,2019-10-12 23:47:44,-46.05,60.91,GL,48,100,32.0,3.36,32.0
Mount Isa,2019-10-12 23:47:44,139.49,-20.73,AU,9,0,86.0,11.41,86.0
Dingle,2019-10-12 23:47:45,122.67,11.0,PH,86,38,78.89,6.49,78.89
Caravelas,2019-10-12 23:47:45,-39.27,-17.73,BR,87,0,70.52,5.63,70.52
Komsomolskoye,2019-10-12 23:47:45,34.02,45.02,UA,69,24,50.23,3.88,50.23
Mansa,2019-10-12 23:47:46,72.66,23.43,IN,77,1,69.8,5.08,69.8
Kavaratti,2019-10-12 23:47:46,72.64,10.57,IN,73,69,83.14,7.55,83.14
Cedartown,2019-10-12 23:47:46,-85.26,34.01,US,72,90,70.0,3.89,66.04
Georgetown,2019-10-12 23:47:47,-58.16,6.8,GY,78,20,82.4,9.17,82.4
Wabrzezno,2019-10-12 23:47:47,18.95,53.28,PL,87,62,57.0,5.82,55.31
Ribeira Grande,2019-10-12 23:47:47,-28.7,38.52,PT,74,32,59.45,14.5,59.45
Chara,2019-10-12 23:47:47,22.43,39.42,GR,93,20,60.8,0.43,59.86
New Norfolk,2019-10-12 23:47:48,147.06,-42.78,AU,57,75,57.99,6.93,55.53
Lata,2019-10-12 23:47:48,78.62,30.78,IN,38,0,27.81,4.02,27.81
Stephenville Crossing,2019-10-12 23:47:48,-58.44,48.5,CA,87,90,48.2,18.34,48.06
Faanui,2019-10-12 23:47:48,-151.75,-16.48,PF,73,4,75.15,19.56,75.15
San Patricio,2019-10-12 23:47:49,-56.83,-26.98,PY,49,0,84.22,5.81,84.22
Santiago de Cao,2019-10-12 23:47:49,-79.24,-7.96,PE,82,20,62.6,8.05,62.6
Naze,2019-10-12 23:47:49,7.07,5.43,NG,94,75,75.2,2.84,75.2
Adrar,2019-10-12 23:47:49,-0.29,27.87,DZ,77,40,60.8,16.11,60.8
Egvekinot,2019-10-12 23:47:50,-179.17,66.32,RU,90,42,21.63,4.85,21.63
Pechenga,2019-10-12 23:47:50,41.46,58.89,RU,86,74,46.26,11.64,46.26
Riberalta,2019-10-12 23:47:50,-66.08,-11.0,BO,78,90,78.8,9.17,78.8
Jalu,2019-10-12 23:47:51,21.55,29.03,LY,47,0,74.77,10.2,74.77
Kaitangata,2019-10-12 23:47:51,169.85,-46.28,NZ,72,94,48.99,14.0,48.99
Brae,2019-10-12 23:47:51,-1.35,60.4,GB,93,1,42.8,1.12,42.01
Dawson Creek,2019-10-12 23:47:51,-120.23,55.76,CA,75,40,51.8,12.75,50.29
Ambo,2019-10-12 23:47:52,37.86,8.98,ET,83,100,49.39,6.37,49.39
Seydi,2019-10-12 23:47:52,7.75,13.34,NE,52,78,84.7,7.57,84.7
Chuy,2019-10-12 23:47:52,-53.46,-33.69,UY,97,100,64.69,8.33,64.69
Union City,2019-10-12 23:47:53,-89.06,36.42,US,50,1,55.99,3.28,53.13
Killybegs,2019-10-12 23:47:53,-8.45,54.63,IE,95,1,41.0,1.99,41.0
Jamame,2019-10-12 23:47:53,42.75,0.07,SO,84,47,79.86,11.81,79.86
Lesnoy,2019-10-12 23:47:54,52.13,59.78,RU,90,88,41.77,13.75,41.77
Laguna,2019-10-12 23:47:54,-88.94,16.17,BZ,88,40,80.6,4.7,80.6
Idah,2019-10-12 23:47:54,6.73,7.11,NG,96,99,72.37,4.27,72.37
Sinop,2019-10-12 23:47:54,35.15,42.03,TR,77,0,60.51,18.31,60.51
Natchitoches,2019-10-12 23:47:55,-93.09,31.76,US,42,1,64.4,3.35,61.9
Bambanglipuro,2019-10-12 23:47:55,110.28,-7.95,ID,75,85,76.84,5.94,76.84
Praia da Vitoria,2019-10-12 23:47:55,-27.07,38.73,PT,67,75,60.8,15.6,60.8
Touros,2019-10-12 23:48:40,-35.46,-5.2,BR,78,40,77.0,5.82,77.0
Avarua,2019-10-12 23:48:41,-159.78,-21.21,CK,57,97,75.2,10.29,75.2
Kahului,2019-10-12 23:48:41,-156.47,20.89,US,74,75,86.0,18.34,82.54
Warrington,2019-10-12 23:48:41,-2.59,53.39,GB,100,100,53.01,5.82,51.13
Ahipara,2019-10-12 23:48:41,173.16,-35.17,NZ,74,96,72.0,10.45,72.0
Avera,2019-10-12 23:48:42,-82.53,33.19,US,56,40,84.2,6.23,77.05
Ensley,2019-10-12 23:48:42,-86.89,33.51,US,68,90,66.0,3.54,62.82
Xam Nua,2019-10-12 23:48:42,104.04,20.42,LA,99,52,64.72,2.14,64.72
Omboue,2019-10-12 23:48:42,9.26,-1.57,GA,98,79,73.31,2.61,73.31
Shestakovo,2019-10-12 23:48:43,103.96,56.49,RU,78,0,19.06,2.42,19.06
La Ronge,2019-10-12 23:48:43,-105.3,55.1,CA,41,5,42.8,5.82,42.8
Manthani,2019-10-12 23:48:43,79.67,18.65,IN,92,0,73.27,3.06,73.27
Bara,2019-10-12 23:48:43,10.6,10.41,NG,86,23,74.52,4.38,74.52
Pochutla,2019-10-12 23:48:44,-96.47,15.74,MX,66,40,87.8,9.66,85.96
Ternate,2019-10-12 23:48:44,120.72,14.29,PH,78,40,82.99,3.36,81.54
West Plains,2019-10-12 23:48:44,-91.85,36.73,US,41,1,57.2,8.05,54.57
Norman Wells,2019-10-12 23:48:45,-126.83,65.28,CA,94,90,32.0,18.34,32.0
Aripuana,2019-10-12 23:48:45,-60.63,-9.17,BR,61,76,80.62,2.15,80.62
Okha,2019-10-12 23:48:45,142.95,53.59,RU,68,70,34.29,17.62,34.29
Pangkalanbuun,2019-10-12 23:48:45,111.62,-2.68,ID,89,100,77.47,0.98,77.47
Bilma,2019-10-12 23:48:46,12.92,18.69,NE,15,4,86.4,18.62,86.4
Saint-Paul,2019-10-12 23:48:46,1.9,45.22,FR,82,75,64.0,10.29,62.47
Cabo San Lucas,2019-10-12 23:48:46,-109.91,22.89,MX,78,90,82.99,9.17,81.21
Aitape,2019-10-12 23:48:46,142.36,-3.15,PG,73,100,81.48,6.78,81.48
Kieta,2019-10-12 23:48:47,155.63,-6.22,PG,69,94,83.44,4.19,83.44
Mujiayingzi,2019-10-12 23:48:47,118.78,42.12,CN,27,100,34.39,12.44,34.39
Port Keats,2019-10-12 23:48:47,129.55,-14.25,AU,46,37,87.84,5.57,87.84
Nemuro,2019-10-12 23:48:48,145.57,43.32,JP,93,75,44.6,17.22,44.6
Sept-Iles,2019-10-12 23:48:48,-66.38,50.2,CA,61,75,48.2,9.17,48.2
Saint-Pierre,2019-10-12 23:48:48,4.24,48.95,FR,100,17,64.4,12.75,60.91
Fairbanks,2019-10-12 23:48:49,-147.72,64.84,US,69,1,35.6,5.82,33.03
Nizhneivkino,2019-10-12 23:48:49,49.52,58.19,RU,91,100,45.32,19.11,45.32
Almaznyy,2019-10-12 23:48:49,40.04,48.03,RU,81,83,49.69,10.27,49.69
Seymchan,2019-10-12 23:48:49,152.39,62.93,RU,81,100,14.36,7.87,14.36
Inhambane,2019-10-12 23:48:50,35.38,-23.87,MZ,73,0,70.52,9.2,70.52
Bonavista,2019-10-12 23:48:50,-53.11,48.65,CA,87,100,46.99,4.0,46.99
Bilibino,2019-10-12 23:48:50,166.44,68.06,RU,89,82,18.66,4.09,18.66
Houston,2019-10-12 23:46:13,-95.37,29.76,US,40,1,70.0,10.29,64.92
Lorengau,2019-10-12 23:48:50,147.27,-2.02,PG,69,95,83.43,2.77,83.43
Tonantins,2019-10-12 23:48:50,-67.77,-2.86,BR,96,95,70.21,6.45,70.21
Santa Cruz,2019-10-12 23:48:51,-36.02,-6.22,BR,70,1,72.34,11.85,72.34
Hovd,2019-10-12 23:48:51,10.7,63.83,NO,86,75,45.0,14.99,41.61
Krasnyy Bogatyr,2019-10-12 23:48:51,41.13,56.01,RU,89,100,50.79,10.09,50.79
Chester,2019-10-12 23:48:51,-2.89,53.19,GB,100,100,53.01,5.82,51.4
Gillette,2019-10-12 23:48:52,-105.5,44.29,US,29,1,50.0,18.34,50.0
Omsukchan,2019-10-12 23:48:52,155.8,62.53,RU,88,100,24.1,2.35,24.1
Buraydah,2019-10-12 23:48:52,43.97,26.33,SA,41,0,75.2,2.24,75.2
Manicore,2019-10-12 23:48:53,-61.3,-5.81,BR,83,91,75.22,2.94,75.22
Geraldton,2019-10-12 23:48:53,-86.95,49.72,CA,94,90,35.6,3.36,35.6
Hendek,2019-10-12 23:48:53,30.75,40.8,TR,100,20,46.4,1.45,46.4
Gamba,2019-10-12 23:49:40,88.52,28.28,CN,70,0,26.04,0.49,26.04
Victoria,2019-10-12 23:49:41,115.24,5.28,BN,94,75,78.8,3.39,77.7
Matara,2019-10-12 23:49:41,29.48,-3.48,BI,90,67,56.89,4.34,56.89
Westlake Village,2019-10-12 23:49:41,-118.81,34.15,US,64,20,84.2,8.05,75.02
Paamiut,2019-10-12 23:49:42,-49.67,61.99,GL,90,100,31.98,2.1,31.98
Biak,2019-10-12 23:49:42,122.88,-0.91,ID,77,50,81.14,8.39,81.14
Yerbogachen,2019-10-12 23:49:42,108.01,61.28,RU,77,2,19.09,8.23,19.09
Mount Gambier,2019-10-12 23:49:42,140.78,-37.83,AU,55,100,60.8,14.99,60.8
Vredendal,2019-10-12 23:49:43,18.49,-31.68,ZA,72,0,55.4,2.01,55.4
Maragogi,2019-10-12 23:49:43,-35.22,-9.01,BR,75,75,78.31,19.48,78.31
Shenjiamen,2019-10-12 23:49:44,122.3,29.96,CN,72,16,72.59,11.2,72.59
Suileng,2019-10-12 23:49:44,127.08,47.25,CN,27,0,34.0,2.52,34.0
Upernavik,2019-10-12 23:49:44,-56.15,72.79,GL,63,98,27.46,10.84,27.46
Auki,2019-10-12 23:49:44,6.51,12.18,NG,81,53,75.6,6.85,75.6
Labuhan,2019-10-12 23:49:44,115.51,-2.54,ID,67,70,81.75,0.54,81.75
Leshukonskoye,2019-10-12 23:49:45,45.76,64.9,RU,95,100,39.7,6.44,39.7
Awjilah,2019-10-12 23:49:45,21.3,29.14,LY,47,0,74.77,10.2,74.77
Sorong,2019-10-12 23:49:45,131.25,-0.86,ID,98,100,74.07,2.34,74.07
Ville-Marie,2019-10-12 23:49:45,-79.44,47.33,CA,75,90,42.8,16.11,42.8
Tyube,2019-10-12 23:49:46,47.29,43.05,RU,52,0,54.93,5.03,54.93
Ozinki,2019-10-12 23:49:46,49.73,51.2,RU,82,0,45.81,7.88,45.81
Longyearbyen,2019-10-12 23:49:46,15.63,78.22,NO,73,20,21.2,3.36,21.2
Metro,2019-10-12 23:49:46,105.31,-5.11,ID,81,75,77.16,8.36,77.16
Camacha,2019-10-12 23:49:46,-16.33,33.08,PT,77,20,69.8,8.05,69.8
Cidreira,2019-10-12 23:49:47,-50.22,-30.17,BR,76,0,73.29,16.61,73.29
Severo-Kurilsk,2019-10-12 23:49:47,156.12,50.68,RU,57,99,38.41,3.43,38.41
Shelburne,2019-10-12 23:49:47,-80.2,44.08,CA,79,20,46.4,4.7,42.67
